lon,lat,depth,strike,dip,dz1,dz2,dz3,thickness
121.44,16.84,171.46,24.07,56.22,14.82,2.95,-1.24,59.51
121.43,16.82,171.46,23.84,56.29,14.83,2.94,-1.12,59.35
121.42,16.80,171.46,23.60,56.37,14.85,2.93,-1.01,59.19
121.41,16.78,171.46,23.35,56.45,14.89,2.93,-0.91,59.04
121.41,16.76,171.46,23.10,56.53,14.94,2.92,-1.17,58.89
121.40,16.74,171.46,22.86,56.60,15.00,2.91,-1.45,58.75
121.39,16.72,171.46,22.61,56.68,15.08,2.90,-1.73,58.61
121.38,16.70,171.46,22.36,56.75,15.16,2.90,-2.03,58.48
121.37,16.68,171.46,22.11,56.83,15.26,2.89,-2.33,58.35
121.36,16.67,171.46,21.87,56.90,15.37,2.88,-2.65,58.22
121.35,16.65,171.46,21.63,56.97,15.49,2.88,-2.98,58.09
121.35,16.63,171.46,21.40,57.04,15.63,2.87,-3.32,57.97
121.34,16.61,171.46,21.17,57.12,15.77,2.87,-3.66,57.85
121.33,16.59,171.46,20.95,57.19,15.92,2.86,-4.02,57.74
121.32,16.57,171.46,20.74,57.26,16.07,2.85,-3.69,57.62
121.31,16.55,171.46,20.54,57.33,16.24,2.85,-3.02,57.51
121.31,16.53,171.46,20.36,57.40,16.41,2.84,-2.36,57.40
121.30,16.51,171.46,20.18,57.47,16.58,2.84,-1.71,57.29
121.29,16.49,171.46,20.02,57.54,16.76,2.83,-1.06,57.18
121.28,16.47,171.46,19.86,57.61,16.94,2.82,-0.42,57.07
121.28,16.45,171.46,19.73,57.68,17.12,2.82,0.21,56.96
121.27,16.43,171.46,19.60,57.76,17.30,2.81,0.84,56.84
121.26,16.41,171.46,19.49,57.83,17.49,2.81,1.46,56.73
121.25,16.39,171.46,19.39,57.90,17.67,2.80,2.08,56.62
121.25,16.37,171.46,19.31,57.97,17.85,2.80,2.52,56.51
121.24,16.35,171.46,19.23,58.05,18.02,2.79,2.61,56.39
121.23,16.33,171.46,19.17,58.12,18.20,2.78,2.70,56.27
